Archipel	Ile	id	nom	Hotel	note_moy	note_sd	avis	note_relevee	chambres	prix	desc	categorie
Australes	Rimatara	224	La Perruche Rouge		0	0		4,5	4	20000	Montagne, vue sur lagon	
Australes	Rurutu	223	Le Manotel	Le Manotel Hôtel, Rurutu, Austral Islands	4,6	0,8	88	4,5	6	19290	Bord de mer (sable blanc lagon récif océan)	
Australes	Rurutu	221	Pension Teautamatea	Hotel Pension Teautamatea Chambres d'hôtes	4,8	0,4	53	3	3	10151	Plaine, accès à la mer	
Australes	Rurutu	222	Vaitumu Village	Vaitumu Village Cottage, Rurutu, Austral Islands	4,9	0,3	88	5	8	21000	Bord de mer (sable blanc lagon récif océan)	
Iles Sous-le-Vent (Raromata'i)	Tahaa	131	Au Phil Du Temps	Au Phil Du Temps Villa, Tahaa	4,9	0,2	242	3	3	13341	Bord de mer (lagon ponton)	
Iles Sous-le-Vent (Raromata'i)	Tahaa	130	Fare Pea Iti	Hotel Fare Pea Iti Chambres d'hôtes, Tahaa, Polynésie française	4,8	0,6	245	2,5	6	26812	Bord de mer (sable blanc lagon ponton)	
Iles Sous-le-Vent (Raromata'i)	Tahaa	125	Hôtel La Pirogue Api	Hotel La Pirogue Api Cottage, Tahaa	5	0	175	2,5	4	50680	Motu privé (sable blanc lagon)	
Iles Sous-le-Vent (Raromata'i)	Tahaa	129	La Perle de Tahaa	Hotel La Perle de Tahaa Resort	3,9	1,2	179	3	7	19000	Bord de mer (lagon ponton)	
Iles Sous-le-Vent (Raromata'i)	Tahaa	28	Le Taha'a Island Resort & Spa Relais & Châteaux		0	0		5	60	109851	Motu (sable blanc lagon), Lac, bungalow sur pilotis	
Iles Sous-le-Vent (Raromata'i)	Tahaa	126	Pension Hibiscus Taha'a	Hotel Pension Hibiscus Tahaa Auberge	3,9	1,4	62	3,5	7	36060	Bord de mer (lagon ponton)	
Iles Sous-le-Vent (Raromata'i)	Tahaa	127	Pension Titaina	Hotel Pension Titaina Chambres d'hôtes	4,8	0,4	150	5	3	13750	Plaine, jardin arboré	
Iles Sous-le-Vent (Raromata'i)	Tahaa	128	Résidence d'hôtes Le Passage	Hotel Residence D'Hotes Le Passage Chambres d'hôtes	3,5	1,7	14	3,5	4	33250	Bord de mer (lagon ponton)	
Iles Sous-le-Vent (Raromata'i)	Tahaa	27	Vahine Island Private Island Resort	Hotel Vahine Island ile privée Resort & Spa	5	0,1	568	4	9	53597	Motu privé (sable blanc lagon), bungalow sur pilotis	
Iles Sous-le-Vent (Raromata'i)	Tahaa	308		Tahaa Village	4,9	0,4	34	5	5	18000		
Iles du Vent (Ni'amata'i)	Tahiti	49	Ahitea Lodge B&B	Hotel Ahitea Lodge Chambres d'hôtes, Tahiti/Papeete	3,8	1	114	4	12	8719	Centre ville	
Iles du Vent (Ni'amata'i)	Tahiti	68	Bonjouir Lodge Paradise Pension	Hotel Bonjouir Lodge Paradise Pension Auberge	3,9	1,2	58	3	15	12480	Bord de mer (sable noir lagon)	
Iles du Vent (Ni'amata'i)	Tahiti	55	Chez Fifi	Chez Fifi Hôtel, Tahiti	2,7	2,1	8	2,5	5	5000	Plaine, chez l'habitant	
Iles du Vent (Ni'amata'i)	Tahiti	67	Fare Arearea	Fare Arearea Condo, Tahiti	3,5	0,7	7	2,5	3	9892	Bord de mer (jardin arboré lagon)	
Iles du Vent (Ni'amata'i)	Tahiti	64	Fare Hau	Hotel FareHau Chambres d'hôtes, Tahiti, Polynésie française	3,5	0,7	7	4	5	10000	Plaine	
Iles du Vent (Ni'amata'i)	Tahiti	69	Fare Maorina		0	0		4,5	4	10610	Plaine, jardin arboré, accès mer	
Iles du Vent (Ni'amata'i)	Tahiti	57	Fare Suisse	Fare Suisse Tahiti, Papeete	4,2	1	308	3	8	10203	Centre ville	
Iles du Vent (Ni'amata'i)	Tahiti	56	Heitiare Inn		0	0		1,5	12	7500	Centre ville	
Iles du Vent (Ni'amata'i)	Tahiti	63	Hiti Moana Villa		0	0		3	8	10151	Bord de mer, jardin arboré, lagon	
Iles du Vent (Ni'amata'i)	Tahiti	8	Hôtel Sarah Nui	Hotel Sarah Nui, Tahiti/Papeete	3,3	0,9	330	3	75	13764	Centre ville de Papeete / Business	
Iles du Vent (Ni'amata'i)	Tahiti	4	Hôtel Tahiti Nui	Hotel Tahiti Nui, Papeete	3,8	0,9	612	4	91	25788	Centre ville de Papeete / Business	
Iles du Vent (Ni'amata'i)	Tahiti	7	Hôtel Tiare Tahiti	Hotel Tiare Tahiti, Papeete	3,3	0,9	198	2	38	10949	Centre ville de Papeete / Business	
Iles du Vent (Ni'amata'i)	Tahiti	1	InterContinental Tahiti Resort & Spa	Hotel InterContinental Tahiti Resort & Spa, Polynésie française	4,2	1	748	4,5	246	43542	Bord de mer (sable blanc lagon), bungalow sur pilotis	
Iles du Vent (Ni'amata'i)	Tahiti	5	Le Méridien Tahiti		0	0		4	149	34230	Bord de mer (sable blanc lagon), bungalow sur pilotis	
Iles du Vent (Ni'amata'i)	Tahiti	9	Le Relais de la Maroto		0	0		2,5	21	10591	Montagne, cœur de l'île / Cave à vin	
Iles du Vent (Ni'amata'i)	Tahiti	10	Le Royal Tahitien	Royal Tahitien Hôtel, Tahiti/Pirae	3,62	1,29	95	3	40	15862	Bord de mer (sable noir, lagon)	
Iles du Vent (Ni'amata'i)	Tahiti	62	Mahana Lodge Hostel & Backpacker	Hotel Mahana Lodge Hostel & Backpacker Auberge, Tahiti/Papeete	3,6	1,4	122	2	8	5529	Centre ville	
Iles du Vent (Ni'amata'i)	Tahiti	58	Maison d'Hôte Tutehau	Hotel Maison D'Hotes Tutehau Chambres d'hôtes, Tahiti/Papeete	4,4	0,9	160	4,5	4	13015	Centre ville	
Iles du Vent (Ni'amata'i)	Tahiti	3	Manava Suite Resort Tahiti	Manava Suite Resort Tahiti Hôtel, Punaauia	3,9	1,1	992	4	121	35561	Bord de mer (pas de plage, lagon)	
Iles du Vent (Ni'amata'i)	Tahiti	54	Pension Armelle - Te Nahe Toe Toe	Hotel Pension Armelle Te Nahe Toe Toe Chambres d'hôtes, Tahiti/Punaauia	3	1,8	12	3	4		Bord de mer (sable blanc lagon)	
Iles du Vent (Ni'amata'i)	Tahiti	50	Pension Damyr	Hotel Pension Damyr Chambres d'hôtes	4,7	0,6	14	3,5	2	9500	Plaine, jardin arboré	
Iles du Vent (Ni'amata'i)	Tahiti	61	Pension de la Plage Tahiti	Pension de la Plage Tahiti, Punaauia	3,8	0,8	518	3	12	11635	Bord de mer (sable blanc lagon)	
Iles du Vent (Ni'amata'i)	Tahiti	52	Pension Puea	Pension Puea, Tahiti/Papeete	4	0	8	2,5	8	7000	Centre ville	
Iles du Vent (Ni'amata'i)	Tahiti	48	Pension Te Miti	Hotel Pension Te Miti Chambres d'hôtes, Tahiti/Punaauia	4,1	1	130	2	7	5131	Plaine, accès mer	
Iles du Vent (Ni'amata'i)	Tahiti	66	Pueu Village	Hotel Pueu Village Chambres d'hôtes	2	1,4	4	2,5	4	12470	Bord de mer (jardin arboré lagon)	
Iles du Vent (Ni'amata'i)	Tahiti	47	Punatea Village	Hotel Punatea Village Chambres d'hôtes, Tahiti/Papeete	3,4	1,1	54	2,5	8	6742	Bord de mer, jardin arboré, océan	
Iles du Vent (Ni'amata'i)	Tahiti	59	Relais Fenua	Hotel Relais Fenua Chambres d'hôtes, Tahiti/Punaauia	4	1	265	3	11	9547	Plaine, chez l'habitant	
Iles du Vent (Ni'amata'i)	Tahiti	70	Taaroa Lodge	taaroa lodge, Tahiti/Papeete	5	0	10	4,5	3	6250	Bord de mer (sable blanc lagon)	
Iles du Vent (Ni'amata'i)	Tahiti	65	Taharu'u Surf Lodge	Taharuu Surf Lodge, Papara	5	0	15	2	8	7457	Plaine, accès mer	
Iles du Vent (Ni'amata'i)	Tahiti	6	Tahiti Airport Motel	Hotel Tahiti Airport Motel, Polynésie française	3,4	1	478	2,5	46	14070	Aéroport de Tahiti Faa'a	
Iles du Vent (Ni'amata'i)	Tahiti	2	Tahiti Pearl Beach Resort	Tahiti Pearl Beach Resort, Arue	4	1,1	1106	4	91	35388	Bord de mer (sable noir océan)	
Iles du Vent (Ni'amata'i)	Tahiti	53	Tauhanihani Village La Vague Bleue		0	0		2,5	6		Plaine, jardin arboré, accès mer	
Iles du Vent (Ni'amata'i)	Tahiti	51	Teamo Hostel		0	0		3	11	8000	Centre ville	
Iles du Vent (Ni'amata'i)	Tahiti	11	Tiki Hotel	Tiki Hotel, Tahiti/Punaauia	3,8	0,4	46	3	20	8835	Plaine, vue sur mer	
Iles du Vent (Ni'amata'i)	Tahiti	46	Vanira Lodge	Vanira Lodge Villa, Teahupoo, Tahiti, Polynésie française	4,2	1	218	3,5	9	18556	Montagne, vue sur l'océan	
Iles du Vent (Ni'amata'i)	Tahiti	60	Villa Mitirapa	Villa Mitirapa, Tahiti	3,8	1,3	45	4	4	26014	Bord de mer, jardin arboré, lagon	
Iles du Vent (Ni'amata'i)	Tahiti	304		Hotel Pension Reva Teahupoo Chambres d'hôtes, Tahiti, Polynésie française	4,8	0,4	62	4,5	2	10300		
Iles du Vent (Ni'amata'i)	Tahiti	313		Hotel Otaha Lodge Chambres d'hôtes, Tahiti/Punaauia	1	0	2	4	6	13000		
Iles du Vent (Ni'amata'i)	Tahiti	316		Hotel Tahiti Ia Ora Beach Resort - Managed by Sofitel, Punaauia	3,8	1,2	364	3,5	149	23898		
Iles du Vent (Ni'amata'i)	Tahiti	399		Fare Arearea Sweet Studio Condo, Tahiti/Papeete	3,1	1	56	3		14566		
Iles du Vent (Ni'amata'i)	Tetiaroa	21	The Brando	Hotel The Brando Resort	4,9	0,6	127	5	35	716070	Atoll privé (sable blanc lagon)	
Tuamotu - Gambiers	Tikehau	194	Aito Motel Colette	Hotel Aito Motel Colette Chambres d'hôtes	3,7	1,6	160	2	5	11933	Atoll (sable blanc lagon)	
Tuamotu - Gambiers	Tikehau	198	Hakamanu Lodge	Hakamanu Lodge, Tuherahera	4,5	0,9	86	4,5	4	18946	Atoll (sable blanc lagon ponton)	
Tuamotu - Gambiers	Tikehau	197	Pension Coconut Beach		0	0		4,5	3		Atoll (sable blanc lagon)	
Tuamotu - Gambiers	Tikehau	196	Tikehau Bed and Breakfast		0	0		2,5	5	12327	Atoll (sable blanc lagon)	
Tuamotu - Gambiers	Tikehau	195	Tikehau Ninamu Resort	Hotel Ninamu Resort	4,9	0,4	98	3,5	8	72433	Atoll privé (sable blanc lagon)	
Tuamotu - Gambiers	Tikehau	43	Tikehau Pearl Beach Resort	Hotel Tikehau Pearl Beach Resort	4,3	1	550	4	37	57534	Atoll (sable blanc lagon), bungalow sur pilotis	
Tuamotu - Gambiers	Tikehau	199	Tikehau Village	Hotel Tikehau Village Chambres d'hôtes	4,2	1,1	272	4	9	12885	Atoll (sable blanc lagon)	
Australes	Tubuai	220	Pension Toena		0	0		4,5	2	6250	Plaine, vue sur mer, hébergement chez l'habitant	
Marquises	Ua Huka	219	Chez Maurice et Delphine		0	0		4	5	13492	Montagne, vue sur l'ocean	
Marquises	Ua Pou	218	Pension Pukuee		0	0		3	2	11500	Montagne, vue sur l'océan	
	Tikehau	310		Hotel Pension Hotu Chambres d'hôtes	3,3	1,5	56	3,5	6	16000		
	Avatoru	311		Hotel Pension Turiroa Chez Olga Auberge	3,8	1,5	38	3,5				
	Tikehau	321		Relais Royal Tikehau Ranch	4,5	0,9	263	4,5		32954		
	Moorea	322		Hotel Villa Bella Vista Chambres d'hôtes	4,9	0,4	34	5	2	28417		
	Tikehau	323		Hotel Pension Justine Auberge	3,4	1,3	75		7	12000		
